tournament,stage,match_type,match_name,map,round_number,loadout_value,remaining_credits,type,outcome,team_id
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Haven,4,6.8k,11.9k,Semi-eco: 5-10k,Loss,7035
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Lotus,14,2.7k,7.8k,Eco: 0-5k,Loss,1001
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Lotus,18,23.1k,25.8k,Full buy: 20k+,Win,1001
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Bind,6,22.0k,4.7k,Full buy: 20k+,Loss,1184
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Split,2,2.2k,9.0k,Eco: 0-5k,Loss,14419
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Haven,3,18.3k,12.1k,Semi-buy: 10-20k,Win,2059
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,10,23.8k,14.2k,Full buy: 20k+,Win,474
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,8,20.6k,13.6k,Full buy: 20k+,Win,2059
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,11,17.2k,0.8k,Semi-buy: 10-20k,Loss,2059
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,8,25.5k,20.6k,Full buy: 20k+,Win,2059
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Abyss,8,24.2k,31.8k,Full buy: 20k+,Loss,278
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Pearl,5,18.2k,2.8k,Semi-buy: 10-20k,Loss,278
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Split,11,22.6k,32.7k,Full buy: 20k+,Win,918
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Pearl,4,21.2k,7.8k,Full buy: 20k+,Loss,466
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Fracture,18,23.2k,7.7k,Full buy: 20k+,Win,624
