tournament,stage,match_type,map,agent,total_wins_by_map,total_loss_by_map,total_maps_played,team_id
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,tejo,2,1,3,466
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Haven,omen,3,2,5,17
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Haven,sova,1,1,5,8304
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Haven,omen,0,1,1,14137
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Split,omen,0,1,1,12010
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Lotus,viper,1,0,1,13581
VCT 2025: China Stage 1,Playoffs,Grand Final,Lotus,viper,0,1,1,12010
VCT 2025: China Stage 1,Group Stage,Week 1,Pearl,tejo,0,1,1,13576
VCT 2025: China Stage 1,Group Stage,Week 4,Ascent,tejo,0,1,1,13790
VCT 2025: China Stage 1,Group Stage,Week 4,Pearl,yoru,0,1,1,731
VCT 2025: China Stage 1,All Stages,All Match Types,Split,breach,1,0,1,13581
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Split,breach,0,1,1,11058
VCT 2025: Americas Stage 1,Group Stage,Week 1,Split,raze,0,1,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 3,Haven,cypher,1,0,1,6961
VCT 2025: Americas Stage 1,Group Stage,Week 4,Lotus,tejo,0,1,1,2
VCT 2025: Americas Stage 1,Group Stage,Week 4,Pearl,yoru,0,1,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,Fracture,brimstone,0,1,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 5,Fracture,breach,0,1,1,2359
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,viper,1,1,2,2
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Haven,yoru,0,1,1,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Abyss,yoru,0,1,1,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Lotus,omen,1,0,1,14419
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Lotus,reyna,1,0,1,474
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Fracture,gekko,0,2,5,474
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Haven,omen,0,1,1,397
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Split,deadlock,0,1,1,6199
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Pearl,sova,1,0,1,878
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Abyss,astra,3,1,4,278
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Split,tejo,1,0,1,120
VCT 2025: Americas Kickoff,Main Event,Grand Final,Pearl,yoru,0,1,1,2
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Abyss,sova,0,1,1,
VCT 2025: Americas Kickoff,Main Event,Lower Final,Pearl,fade,0,1,1,2
VCT 2025: Americas Kickoff,Main Event,Lower Final,Split,jett,0,1,1,7386
VCT 2025: Americas Kickoff,All Stages,All Match Types,Lotus,cypher,0,2,4,7386
VCT 2025: Americas Kickoff,All Stages,All Match Types,Bind,yoru,0,1,2,7386
VCT 2025: China Kickoff,Main Event,Lower Round 1,Abyss,jett,1,0,1,13790
Valorant Champions 2025,Playoffs,Lower Round 2,Bind,brimstone,0,1,1,624
Valorant Champions 2025,Group Stage,Decider (A),Ascent,cypher,0,1,1,13581
Valorant Champions 2025,Group Stage,Opening (C),Bind,waylay,1,0,1,8185
Valorant Champions 2025,Group Stage,Elimination (D),Lotus,vyse,0,1,1,11981
Valorant Champions 2025,Group Stage,Decider (D),Corrode,waylay,0,1,1,14
Valorant Champions 2025,All Stages,All Match Types,Bind,viper,0,2,2,13581
Valorant Champions 2025,All Stages,All Match Types,Lotus,waylay,0,3,4,8185
Valorant Champions 2025,All Stages,All Match Types,Lotus,vyse,0,2,2,11981
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Haven,fade,1,0,1,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Corrode,fade,0,1,1,17
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,Ascent,chamber,0,1,1,14
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Haven,viper,0,1,1,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,waylay,0,1,1,278
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Bind,deadlock,2,0,2,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,yoru,1,0,1,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,omen,1,3,4,14
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,cypher,1,1,2,918
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Corrode,yoru,1,1,2,278
VCT 2025: China Stage 2,Playoffs,Upper Final,Lotus,neon,0,1,1,11981
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Haven,yoru,0,1,1,731
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Lotus,fade,1,0,1,13581
VCT 2025: China Stage 2,Group Stage,Week 1,Haven,viper,0,1,1,13576
VCT 2025: China Stage 2,Group Stage,Week 2,Haven,iso,1,0,1,731
VCT 2025: China Stage 2,Group Stage,Week 2,Sunset,cypher,1,0,1,12685
VCT 2025: China Stage 2,Group Stage,Week 4,Haven,sova,0,1,1,731
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,brimstone,1,0,1,13581
VCT 2025: China Stage 2,All Stages,All Match Types,Ascent,chamber,1,1,2,13576
VCT 2025: China Stage 2,All Stages,All Match Types,Icebox,jett,3,0,3,12685
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,cypher,1,1,3,1120
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Bind,yoru,0,1,1,8877
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,Sunset,breach,1,0,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Icebox,killjoy,0,1,1,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Lotus,yoru,1,0,1,474
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,sova,1,0,1,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Lotus,omen,1,0,1,474
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Corrode,fade,2,0,2,2593
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,viper,0,1,1,7035
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Haven,viper,1,0,1,188
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sunset,neon,1,0,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 1,Bind,brimstone,0,1,1,2406
VCT 2025: Americas Stage 2,Group Stage,Week 1,Ascent,cypher,1,0,1,5248
VCT 2025: Americas Stage 2,Group Stage,Week 2,Ascent,kayo,0,1,1,15072
VCT 2025: Americas Stage 2,Group Stage,Week 2,Sunset,omen,0,1,1,2406
VCT 2025: Americas Stage 2,Group Stage,Week 2,Bind,raze,0,1,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 4,Bind,brimstone,1,0,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 4,Ascent,chamber,0,1,1,2406
VCT 2025: Americas Stage 2,All Stages,All Match Types,Ascent,cypher,2,1,3,2355
VCT 2025: Americas Stage 2,All Stages,All Match Types,Icebox,sova,1,1,2,6961
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Icebox,killjoy,1,0,1,11058
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Icebox,clove,0,1,1,474
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Icebox,neon,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Split,omen,1,0,1,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Icebox,tejo,0,1,1,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Icebox,gekko,1,0,1,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Fracture,cypher,1,0,1,7035
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Icebox,jett,1,3,5,474
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Ascent,kayo,2,2,4,397
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Haven,jett,0,1,2,14419
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Lotus,viper,1,0,1,17
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Haven,sova,0,1,1,878
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Fracture,brimstone,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Pearl,killjoy,1,0,1,14
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,breach,1,1,2,466
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Pearl,vyse,1,1,3,624
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Ascent,jett,1,2,4,17
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Split,tejo,1,0,1,13790
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Lotus,omen,0,1,1,1120
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Lotus,sova,1,0,1,1120
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Ascent,vyse,1,0,1,1120
VCT 2025: China Stage 1,Playoffs,Lower Final,Icebox,jett,0,1,1,13790
VCT 2025: China Stage 1,Group Stage,Week 2,Icebox,gekko,1,0,1,13576
VCT 2025: China Stage 1,Group Stage,Week 3,Fracture,brimstone,1,0,1,731
VCT 2025: China Stage 1,Group Stage,Week 5,Haven,sova,0,1,1,731
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,Icebox,sova,0,1,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,Split,tejo,0,1,1,2406
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,omen,1,2,3,2406
VCT 2025: Americas Stage 1,All Stages,All Match Types,Haven,vyse,0,1,1,2359
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,omen,5,1,6,11058
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,sova,1,2,3,2406
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,Split,fade,1,0,1,14
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Haven,breach,0,1,1,2
Valorant Masters Bangkok 2025,All Stages,All Match Types,Bind,skye,1,0,1,474
Valorant Masters Bangkok 2025,All Stages,All Match Types,Haven,jett,0,1,1,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Abyss,astra,1,0,1,4915
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Lotus,omen,0,1,1,878
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Lotus,jett,1,0,1,624
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Fracture,brimstone,1,0,1,878
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Bind,deadlock,0,1,1,624
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Haven,jett,0,1,1,6199
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Haven,cypher,0,1,1,5448
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Split,raze,1,0,1,120
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Lotus,omen,0,1,1,7386
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Split,raze,0,1,1,2359
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Haven,omen,1,0,1,2355
VCT 2025: Americas Kickoff,All Stages,All Match Types,Haven,cypher,1,0,1,2359
VCT 2025: China Kickoff,Main Event,Upper Round 1,Lotus,fade,0,1,1,13790
VCT 2025: China Kickoff,Main Event,Lower Round 1,Fracture,breach,0,1,1,14137
VCT 2025: China Kickoff,Main Event,Lower Round 4,Haven,jett,1,0,1,1120
VCT 2025: China Kickoff,All Stages,All Match Types,Lotus,clove,1,3,4,1120
VCT 2025: China Kickoff,All Stages,All Match Types,Fracture,raze,0,1,1,731
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,neon,0,1,1,8185
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,yoru,0,1,1,2593
Valorant Champions 2025,Group Stage,Elimination (A),Abyss,jett,0,1,1,13581
Valorant Champions 2025,Group Stage,Decider (A),Ascent,jett,1,0,1,14419
Valorant Champions 2025,All Stages,All Match Types,Sunset,cypher,2,0,2,7386
Valorant Champions 2025,All Stages,All Match Types,Lotus,cypher,1,2,3,14419
Valorant Champions 2025,All Stages,All Match Types,Abyss,yoru,0,1,1,13581
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Sunset,raze,1,0,1,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,Haven,yoru,1,0,1,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Lotus,fade,1,0,1,17
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Ascent,cypher,0,1,2,466
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,killjoy,3,1,4,17
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Corrode,fade,1,1,3,11060
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Haven,omen,0,1,1,731
VCT 2025: China Stage 2,Group Stage,Week 1,Sunset,neon,0,1,1,13581
VCT 2025: China Stage 2,Group Stage,Week 2,Bind,cypher,0,1,1,13790
VCT 2025: China Stage 2,Group Stage,Week 3,Haven,neon,1,0,1,14137
VCT 2025: China Stage 2,Group Stage,Week 3,Haven,sova,0,1,1,13576
VCT 2025: China Stage 2,Group Stage,Week 4,Bind,fade,0,1,1,13790
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,yoru,1,3,4,11981
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,neon,2,2,4,12064
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Bind,viper,0,1,1,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Ascent,chamber,1,0,1,7035
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Icebox,kayo,0,1,1,474
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,yoru,1,1,3,7035
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Corrode,vyse,0,1,1,188
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Icebox,jett,0,1,1,2
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sunset,omen,1,0,1,11058
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Ascent,sova,0,1,1,2359
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,Corrode,omen,1,0,1,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Ascent,vyse,1,0,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,Corrode,omen,1,0,1,
VCT 2025: Americas Stage 2,Group Stage,Week 4,Lotus,vyse,0,1,1,7386
VCT 2025: Americas Stage 2,Group Stage,Week 5,Sunset,omen,0,1,1,2
VCT 2025: Americas Stage 2,All Stages,All Match Types,Icebox,sage,0,1,2,120
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Lotus,omen,1,0,1,624
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Ascent,jett,0,1,1,878
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Haven,fade,0,1,1,11058
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Split,cypher,0,1,1,13790
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Lotus,killjoy,0,1,1,13790
Valorant Masters Toronto 2025,All Stages,All Match Types,Lotus,omen,0,1,1,17
Valorant Masters Toronto 2025,All Stages,All Match Types,Split,fade,0,2,2,11058
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,sova,1,1,2,17
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,tejo,1,0,1,8877
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Icebox,gekko,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Fracture,tejo,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Split,tejo,1,0,1,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Pearl,vyse,1,0,1,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Lotus,harbor,0,1,1,8877
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Split,fade,4,2,6,474
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Ascent,vyse,1,0,1,8304
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Split,omen,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Lotus,breach,0,1,1,878
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Fracture,tejo,0,1,1,278
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,tejo,0,2,3,6199
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Haven,iso,0,1,3,466
VCT 2025: China Stage 1,Group Stage,Week 2,Fracture,brimstone,0,1,1,12685
VCT 2025: China Stage 1,Group Stage,Week 2,Pearl,astra,0,1,1,12685
VCT 2025: China Stage 1,Group Stage,Week 2,Icebox,tejo,1,0,1,13576
VCT 2025: China Stage 1,All Stages,All Match Types,Lotus,yoru,6,1,7,13581
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Ascent,omen,0,1,1,2
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Ascent,vyse,1,0,1,11058
VCT 2025: Americas Stage 1,Group Stage,Week 3,Pearl,astra,1,0,1,2
VCT 2025: Americas Stage 1,Group Stage,Week 5,Icebox,killjoy,0,1,1,188
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,vyse,1,3,4,2355
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,yoru,1,1,2,188
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,kayo,0,1,1,
Valorant Masters Bangkok 2025,Playoffs,Lower Final,Bind,brimstone,1,0,1,14
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Lotus,cypher,1,0,1,8185
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Bind,tejo,0,1,1,8185
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Lotus,tejo,0,1,1,474
Valorant Masters Bangkok 2025,All Stages,All Match Types,Lotus,clove,0,1,1,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Lotus,raze,1,0,1,397
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Abyss,astra,1,0,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Pearl,tejo,0,1,1,474
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Pearl,killjoy,2,1,3,12694
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Pearl,yoru,1,0,2,11479
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Split,astra,1,0,1,11060
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Fracture,brimstone,0,1,1,8304
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Lotus,omen,0,1,1,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Pearl,sova,0,1,1,6199
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Fracture,tejo,1,2,5,14
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Abyss,jett,3,1,4,278
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Lotus,cypher,1,0,1,6961
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Abyss,sova,0,1,1,5248
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,astra,2,1,3,11058
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Haven,killjoy,0,1,1,12010
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Lotus,cypher,0,1,1,13581
VCT 2025: China Kickoff,Main Event,Lower Round 1,Abyss,omen,0,1,1,14137
VCT 2025: China Kickoff,All Stages,All Match Types,Abyss,cypher,0,2,2,13581
Valorant Champions 2025,Group Stage,Opening (B),Corrode,deadlock,0,1,1,12010
Valorant Champions 2025,Group Stage,Opening (C),Abyss,neon,0,1,1,1120
Valorant Champions 2025,All Stages,All Match Types,Corrode,yoru,0,1,1,1120
Valorant Champions 2025,All Stages,All Match Types,Abyss,jett,0,1,1,13581
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Bind,vyse,1,0,1,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Haven,cypher,1,0,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Icebox,killjoy,0,1,1,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,sage,1,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Lotus,breach,1,0,1,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Corrode,viper,0,3,3,466
VCT 2025: China Stage 2,Playoffs,Lower Round 1,Ascent,kayo,1,0,1,1120
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Icebox,jett,1,0,1,1119
VCT 2025: China Stage 2,Playoffs,Lower Final,Bind,viper,1,0,1,1120
VCT 2025: China Stage 2,Group Stage,Week 1,Lotus,omen,0,1,1,1119
VCT 2025: China Stage 2,All Stages,All Match Types,Sunset,cypher,0,1,4,13581
VCT 2025: China Stage 2,All Stages,All Match Types,Corrode,omen,0,2,2,13576
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,vyse,0,2,2,12685
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,kayo,0,1,1,14137
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Icebox,jett,0,1,1,1001
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Sunset,breach,0,1,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Lotus,sova,1,0,1,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Bind,raze,0,1,1,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,chamber,1,0,1,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,vyse,1,0,1,474
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,cypher,1,2,3,1184
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Lotus,omen,1,3,4,11479
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Lotus,yoru,1,1,2,1184
VCT 2025: Americas Stage 2,Playoffs,Grand Final,Lotus,fade,0,1,1,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,Sunset,kayo,0,1,1,2359
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,Haven,vyse,1,0,1,188
VCT 2025: Americas Stage 2,Group Stage,Week 2,Haven,neon,1,0,1,
VCT 2025: Americas Stage 2,Group Stage,Week 3,Icebox,killjoy,0,1,1,120
VCT 2025: Americas Stage 2,All Stages,All Match Types,Lotus,yoru,2,1,3,11058
VCT 2025: Americas Stage 2,All Stages,All Match Types,Corrode,waylay,4,0,4,
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Split,viper,1,0,1,13790
Valorant Masters Toronto 2025,All Stages,All Match Types,Haven,omen,3,0,3,17
Valorant Masters Toronto 2025,All Stages,All Match Types,Pearl,raze,2,0,2,624
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,omen,0,1,1,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Lotus,killjoy,1,0,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Pearl,sova,0,1,1,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Fracture,tejo,1,0,1,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Lotus,breach,0,1,1,11479
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Fracture,tejo,4,0,4,2593
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Haven,omen,0,2,2,14419
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Split,omen,1,0,1,624
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Fracture,breach,0,1,1,12685
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Pearl,fade,1,0,1,12010
VCT 2025: China Stage 1,All Stages,All Match Types,Pearl,viper,1,0,1,11328
VCT 2025: China Stage 1,All Stages,All Match Types,Icebox,jett,2,1,3,1120
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Pearl,tejo,1,0,1,2
VCT 2025: Americas Stage 1,Group Stage,Week 1,Haven,omen,0,1,1,15072
VCT 2025: Americas Stage 1,Group Stage,Week 3,Ascent,yoru,0,1,1,2406
VCT 2025: Americas Stage 1,Group Stage,Week 4,Lotus,raze,1,0,1,5248
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,harbor,1,1,2,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Lotus,raze,1,0,1,14
Valorant Masters Bangkok 2025,All Stages,All Match Types,Bind,raze,2,1,3,2059
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Bind,raze,1,0,1,474
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Abyss,omen,0,1,1,2593
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Bind,raze,0,1,1,1184
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Haven,iso,1,0,1,2593
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Fracture,brimstone,1,0,1,4915
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Fracture,brimstone,1,0,1,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Split,cypher,0,1,1,918
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,Lotus,fade,1,0,1,17
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,Lotus,viper,1,0,1,17
VCT 2025: Pacific Kickoff,Main Event,Lower Final,Lotus,viper,0,1,1,17
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Split,raze,1,2,3,14
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Lotus,breach,0,1,1,7386
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Split,omen,0,1,1,2359
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Bind,deadlock,0,1,1,6961
VCT 2025: Americas Kickoff,All Stages,All Match Types,Lotus,vyse,0,1,4,7386
VCT 2025: China Kickoff,Main Event,Upper Final,Lotus,fade,1,0,1,12685
VCT 2025: China Kickoff,Main Event,Lower Round 2,Haven,breach,0,1,1,13576
VCT 2025: China Kickoff,Main Event,Lower Round 4,Pearl,jett,0,1,1,11981
VCT 2025: China Kickoff,All Stages,All Match Types,Pearl,killjoy,0,1,1,12010
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Ascent,vyse,1,0,1,624
Valorant Champions 2025,Playoffs,Lower Final,Corrode,yoru,1,0,1,2593
Valorant Champions 2025,Group Stage,Opening (C),Abyss,waylay,1,0,1,8185
Valorant Champions 2025,Group Stage,Winner's (D),Sunset,yoru,1,0,1,1001
Valorant Champions 2025,Group Stage,Elimination (D),Lotus,omen,1,0,1,11058
Valorant Champions 2025,All Stages,All Match Types,Sunset,breach,1,0,1,1120
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Corrode,neon,0,1,1,11060
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Haven,sova,1,0,1,8304
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,Corrode,cypher,0,1,1,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Bind,brimstone,0,1,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Corrode,viper,0,1,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,raze,0,1,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Haven,cypher,1,0,1,14
