tournament,stage,match_type,map,agent,total_wins_by_map,total_loss_by_map,total_maps_played,team_id
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Haven,breach,1,0,1,474
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Fracture,brimstone,1,1,2,14419
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Abyss,astra,1,0,1,397
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Split,breach,0,1,1,5448
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Split,cypher,1,0,1,11060
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Bind,raze,0,1,1,17
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Split,raze,1,0,1,278
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Bind,viper,0,1,1,120
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Lotus,omen,1,0,1,11058
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Lotus,raze,0,1,1,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Pearl,jett,1,0,1,7386
VCT 2025: Americas Kickoff,All Stages,All Match Types,Split,viper,1,1,2,2359
VCT 2025: Americas Kickoff,All Stages,All Match Types,Pearl,sova,0,1,1,5248
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,cypher,0,1,1,2406
VCT 2025: China Kickoff,Main Event,Lower Round 2,Pearl,astra,1,0,1,13576
VCT 2025: China Kickoff,Main Event,Lower Round 3,Bind,raze,0,1,1,13581
VCT 2025: China Kickoff,All Stages,All Match Types,Abyss,cypher,1,1,2,12064
Valorant Champions 2025,Playoffs,Lower Round 2,Sunset,sova,1,0,1,7386
Valorant Champions 2025,Group Stage,Opening (A),Sunset,omen,1,0,1,14419
Valorant Champions 2025,Group Stage,Winner's (C),Haven,sova,0,1,1,
Valorant Champions 2025,Group Stage,Decider (D),Corrode,tejo,1,0,1,11058
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Haven,vyse,1,0,1,624
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Bind,gekko,1,0,1,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Bind,waylay,0,1,1,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Sunset,fade,1,0,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Ascent,vyse,1,0,1,14
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Haven,omen,0,1,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Bind,raze,1,0,1,624
VCT 2025: China Stage 2,Playoffs,Lower Round 1,Icebox,viper,1,0,1,1119
VCT 2025: China Stage 2,Group Stage,Week 1,Corrode,cypher,0,1,1,13790
VCT 2025: China Stage 2,Group Stage,Week 2,Haven,viper,1,0,1,12064
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Haven,omen,0,1,1,2593
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,Sunset,cypher,1,0,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Icebox,viper,1,0,1,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Ascent,sova,1,0,1,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,iso,1,0,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Bind,raze,0,1,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,breach,1,0,1,12694
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Corrode,astra,2,0,2,2593
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Haven,neon,0,2,3,2593
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,vyse,0,1,1,1184
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Corrode,skye,0,1,1,188
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Lotus,viper,0,1,1,2
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Lotus,raze,1,0,1,
VCT 2025: Americas Stage 2,Group Stage,Week 2,Corrode,fade,0,1,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 2,Bind,brimstone,0,1,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 4,Corrode,neon,0,1,1,5248
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sunset,neon,1,0,1,6961
VCT 2025: Americas Stage 2,Group Stage,Week 5,Lotus,fade,0,1,1,2355
VCT 2025: Americas Stage 2,All Stages,All Match Types,Bind,skye,2,0,2,188
VCT 2025: Americas Stage 2,All Stages,All Match Types,Ascent,yoru,0,1,1,188
VCT 2025: Americas Stage 2,All Stages,All Match Types,Sunset,sova,0,2,2,2406
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sunset,fade,0,1,1,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Haven,cypher,1,0,1,878
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Ascent,sova,1,0,1,2593
Valorant Masters Toronto 2025,Playoffs,Lower Final,Lotus,fade,0,1,1,2593
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Pearl,astra,0,1,1,1001
Valorant Masters Toronto 2025,All Stages,All Match Types,Lotus,omen,0,1,1,1001
Valorant Masters Toronto 2025,All Stages,All Match Types,Split,omen,1,1,2,2
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,Lotus,breach,0,1,1,1184
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,Fracture,brimstone,1,0,1,397
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Split,breach,1,1,2,12694
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Lotus,tejo,0,1,2,4915
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Icebox,viper,0,2,2,1184
