Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Fracture,1,63%,38%
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Lotus,1,35%,65%
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Pearl,1,53%,47%
Valorant Masters Bangkok 2025,All Stages,All Match Types,All Maps,42,50%,50%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Lotus,9,50%,50%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Bind,7,46%,54%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Split,7,51%,49%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Haven,6,60%,40%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Pearl,5,44%,56%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Abyss,4,53%,47%
Valorant Masters Bangkok 2025,All Stages,All Match Types,Fracture,4,45%,55%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,All Maps,11,58%,42%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Abyss,2,72%,28%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Bind,2,61%,39%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Haven,2,58%,42%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Lotus,2,51%,49%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Pearl,2,53%,47%
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Fracture,1,48%,52%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,All Maps,11,47%,53%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Abyss,3,45%,55%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Fracture,3,43%,57%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Pearl,2,34%,66%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Bind,1,50%,50%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Haven,1,50%,50%
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Split,1,83%,17%
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,All Maps,4,52%,48%
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Lotus,1,55%,45%
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Bind,1,65%,35%
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Pearl,1,63%,38%
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Split,1,18%,82%
VCT 2025: EMEA Kickoff,Main Event,Upper Final,All Maps,2,68%,32%
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Haven,1,61%,39%
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Abyss,1,79%,21%
VCT 2025: EMEA Kickoff,Main Event,Grand Final,All Maps,5,53%,47%
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Bind,1,45%,55%
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Fracture,1,43%,57%
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Haven,1,35%,65%
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Lotus,1,74%,26%
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Split,1,70%,30%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,All Maps,12,49%,51%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Haven,3,34%,66%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Pearl,3,48%,52%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Fracture,2,50%,50%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Lotus,2,59%,41%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Abyss,1,59%,41%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Bind,1,58%,42%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,All Maps,4,58%,42%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Fracture,2,50%,50%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Abyss,1,83%,17%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Split,1,53%,47%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,All Maps,5,55%,45%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Abyss,1,65%,35%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Bind,1,63%,38%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Fracture,1,32%,68%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Pearl,1,68%,32%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Split,1,43%,57%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,All Maps,3,54%,46%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Abyss,1,55%,45%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Bind,1,54%,46%
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Haven,1,53%,47%
VCT 2025: EMEA Kickoff,Main Event,Lower Final,All Maps,3,50%,50%
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Abyss,1,53%,47%
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Fracture,1,55%,45%
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Lotus,1,41%,59%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,All Maps,60,53%,47%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Abyss,11,60%,40%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Fracture,11,46%,54%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Haven,9,47%,53%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Pearl,9,50%,50%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Bind,8,57%,43%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Lotus,7,56%,44%
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Split,5,55%,45%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,All Maps,11,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Pearl,3,54%,46%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Haven,2,63%,37%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Abyss,2,53%,48%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Split,2,43%,57%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Bind,1,33%,67%
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Fracture,1,45%,55%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,All Maps,12,47%,53%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Lotus,3,44%,56%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Fracture,3,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Split,2,37%,63%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Abyss,1,41%,59%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Bind,1,63%,37%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Haven,1,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Pearl,1,53%,47%
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,All Maps,5,49%,51%
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Bind,2,41%,59%
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Abyss,1,68%,32%
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Fracture,1,28%,72%
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Haven,1,59%,41%
VCT 2025: Pacific Kickoff,Main Event,Upper Final,All Maps,3,52%,48%
VCT 2025: Pacific Kickoff,Main Event,Upper Final,Haven,1,58%,42%
VCT 2025: Pacific Kickoff,Main Event,Upper Final,Fracture,1,61%,39%
VCT 2025: Pacific Kickoff,Main Event,Upper Final,Lotus,1,38%,63%
VCT 2025: Pacific Kickoff,Main Event,Grand Final,All Maps,5,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Abyss,1,31%,69%
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Bind,1,58%,42%
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Fracture,1,41%,59%
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Lotus,1,58%,42%
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Split,1,54%,46%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,All Maps,10,58%,42%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Lotus,3,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Pearl,2,64%,36%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Abyss,1,76%,24%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Bind,1,65%,35%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Fracture,1,62%,38%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Haven,1,47%,53%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Split,1,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,All Maps,5,58%,42%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Pearl,2,69%,31%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Abyss,1,48%,52%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Fracture,1,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Lotus,1,58%,42%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,All Maps,5,56%,44%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Lotus,2,49%,51%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Abyss,1,63%,37%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Bind,1,70%,30%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Split,1,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,All Maps,2,60%,40%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,Lotus,1,67%,33%
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,Bind,1,55%,45%
VCT 2025: Pacific Kickoff,Main Event,Lower Final,All Maps,5,50%,50%
VCT 2025: Pacific Kickoff,Main Event,Lower Final,Haven,1,61%,39%
VCT 2025: Pacific Kickoff,Main Event,Lower Final,Bind,1,70%,30%
VCT 2025: Pacific Kickoff,Main Event,Lower Final,Lotus,1,38%,62%
VCT 2025: Pacific Kickoff,Main Event,Lower Final,Pearl,1,57%,43%
VCT 2025: Pacific Kickoff,Main Event,Lower Final,Split,1,25%,75%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,All Maps,63,52%,48%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Lotus,13,49%,51%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Bind,9,55%,45%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Fracture,9,49%,51%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Pearl,9,59%,41%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Abyss,8,55%,45%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Split,8,42%,58%
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Haven,7,57%,43%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,All Maps,8,57%,43%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Lotus,3,59%,41%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Bind,1,77%,23%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Fracture,1,83%,17%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Haven,1,45%,55%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Pearl,1,43%,57%
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Split,1,33%,67%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,All Maps,9,51%,49%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Split,3,58%,42%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Haven,2,46%,54%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Abyss,1,33%,67%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Bind,1,50%,50%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Lotus,1,47%,53%
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Pearl,1,59%,41%
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,All Maps,5,52%,48%
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Pearl,2,57%,43%
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Lotus,1,46%,54%
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Fracture,1,59%,41%
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Split,1,41%,59%
VCT 2025: Americas Kickoff,Main Event,Upper Final,All Maps,2,65%,35%
VCT 2025: Americas Kickoff,Main Event,Upper Final,Abyss,1,75%,25%
VCT 2025: Americas Kickoff,Main Event,Upper Final,Pearl,1,55%,45%
VCT 2025: Americas Kickoff,Main Event,Grand Final,All Maps,5,47%,53%
VCT 2025: Americas Kickoff,Main Event,Grand Final,Abyss,1,50%,50%
VCT 2025: Americas Kickoff,Main Event,Grand Final,Fracture,1,50%,50%
VCT 2025: Americas Kickoff,Main Event,Grand Final,Haven,1,30%,70%
VCT 2025: Americas Kickoff,Main Event,Grand Final,Pearl,1,62%,38%
VCT 2025: Americas Kickoff,Main Event,Grand Final,Split,1,41%,59%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,All Maps,10,59%,41%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Abyss,3,68%,32%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Lotus,2,43%,57%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Pearl,2,52%,48%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Bind,1,59%,41%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Fracture,1,75%,25%
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Split,1,67%,33%
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,All Maps,5,47%,53%
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Abyss,2,64%,36%
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Bind,1,45%,55%
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Haven,1,26%,74%
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Split,1,31%,69%
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,All Maps,5,50%,50%
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Haven,1,29%,71%
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Bind,1,39%,61%
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Lotus,1,65%,35%
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Pearl,1,59%,41%
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Split,1,58%,42%
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,All Maps,3,48%,52%
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,Abyss,1,43%,57%
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,Bind,1,38%,62%
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,Split,1,63%,38%
VCT 2025: Americas Kickoff,Main Event,Lower Final,All Maps,4,60%,40%
VCT 2025: Americas Kickoff,Main Event,Lower Final,Lotus,1,35%,65%
VCT 2025: Americas Kickoff,Main Event,Lower Final,Abyss,1,61%,39%
VCT 2025: Americas Kickoff,Main Event,Lower Final,Pearl,1,75%,25%
VCT 2025: Americas Kickoff,Main Event,Lower Final,Split,1,65%,35%
VCT 2025: Americas Kickoff,All Stages,All Match Types,All Maps,56,53%,47%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Split,11,52%,48%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,10,59%,41%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Pearl,10,57%,43%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Lotus,9,50%,50%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Bind,6,52%,48%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Haven,6,37%,63%
VCT 2025: Americas Kickoff,All Stages,All Match Types,Fracture,4,68%,32%
VCT 2025: China Kickoff,Main Event,Upper Round 1,All Maps,9,42%,58%
VCT 2025: China Kickoff,Main Event,Upper Round 1,Abyss,3,39%,61%
VCT 2025: China Kickoff,Main Event,Upper Round 1,Bind,2,39%,61%
VCT 2025: China Kickoff,Main Event,Upper Round 1,Fracture,1,38%,63%
VCT 2025: China Kickoff,Main Event,Upper Round 1,Haven,1,58%,42%
VCT 2025: China Kickoff,Main Event,Upper Round 1,Lotus,1,46%,54%
VCT 2025: China Kickoff,Main Event,Upper Round 1,Split,1,41%,59%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,All Maps,10,58%,42%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Abyss,3,63%,37%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Fracture,2,63%,37%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Pearl,2,60%,40%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Haven,1,46%,54%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Lotus,1,46%,54%
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Split,1,52%,48%
VCT 2025: China Kickoff,Main Event,Upper Semifinals,All Maps,4,48%,53%
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Lotus,2,56%,44%
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Bind,2,39%,61%
VCT 2025: China Kickoff,Main Event,Upper Final,All Maps,3,49%,51%
VCT 2025: China Kickoff,Main Event,Upper Final,Haven,1,57%,43%
VCT 2025: China Kickoff,Main Event,Upper Final,Bind,1,38%,62%
VCT 2025: China Kickoff,Main Event,Upper Final,Lotus,1,53%,47%
VCT 2025: China Kickoff,Main Event,Grand Final,All Maps,4,51%,49%
VCT 2025: China Kickoff,Main Event,Grand Final,Abyss,1,67%,33%
VCT 2025: China Kickoff,Main Event,Grand Final,Bind,1,38%,63%
VCT 2025: China Kickoff,Main Event,Grand Final,Fracture,1,33%,67%
VCT 2025: China Kickoff,Main Event,Grand Final,Lotus,1,58%,42%
VCT 2025: China Kickoff,Main Event,Lower Round 1,All Maps,10,44%,56%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Abyss,3,50%,50%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Fracture,2,48%,52%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Bind,1,21%,79%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Haven,1,43%,57%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Lotus,1,41%,59%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Pearl,1,47%,53%
VCT 2025: China Kickoff,Main Event,Lower Round 1,Split,1,32%,68%
VCT 2025: China Kickoff,Main Event,Lower Round 2,All Maps,5,49%,51%
VCT 2025: China Kickoff,Main Event,Lower Round 2,Bind,2,51%,49%
VCT 2025: China Kickoff,Main Event,Lower Round 2,Pearl,2,53%,47%
VCT 2025: China Kickoff,Main Event,Lower Round 2,Haven,1,37%,63%
VCT 2025: China Kickoff,Main Event,Lower Round 3,All Maps,6,57%,43%
VCT 2025: China Kickoff,Main Event,Lower Round 3,Haven,2,58%,42%
VCT 2025: China Kickoff,Main Event,Lower Round 3,Abyss,1,54%,46%
VCT 2025: China Kickoff,Main Event,Lower Round 3,Bind,1,52%,48%
VCT 2025: China Kickoff,Main Event,Lower Round 3,Lotus,1,50%,50%
VCT 2025: China Kickoff,Main Event,Lower Round 3,Pearl,1,79%,21%
VCT 2025: China Kickoff,Main Event,Lower Round 4,All Maps,2,66%,34%
VCT 2025: China Kickoff,Main Event,Lower Round 4,Haven,1,92%,8%
VCT 2025: China Kickoff,Main Event,Lower Round 4,Pearl,1,50%,50%
VCT 2025: China Kickoff,Main Event,Lower Final,All Maps,3,46%,54%
VCT 2025: China Kickoff,Main Event,Lower Final,Lotus,1,39%,61%
VCT 2025: China Kickoff,Main Event,Lower Final,Haven,1,58%,42%
VCT 2025: China Kickoff,Main Event,Lower Final,Pearl,1,42%,58%
VCT 2025: China Kickoff,All Stages,All Match Types,All Maps,56,50%,50%
VCT 2025: China Kickoff,All Stages,All Match Types,Abyss,11,53%,47%
VCT 2025: China Kickoff,All Stages,All Match Types,Bind,10,41%,59%
VCT 2025: China Kickoff,All Stages,All Match Types,Haven,9,54%,46%
VCT 2025: China Kickoff,All Stages,All Match Types,Lotus,9,50%,50%
VCT 2025: China Kickoff,All Stages,All Match Types,Pearl,8,54%,46%
VCT 2025: China Kickoff,All Stages,All Match Types,Fracture,6,49%,51%
VCT 2025: China Kickoff,All Stages,All Match Types,Split,3,42%,58%
