tournament,stage,match_type,match_name,map,type,initiated,won,team_id
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Ascent,Pistol Won,0,2,7386
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,All Maps,Eco (won),7,1,15072
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Split,Eco (won),3,1,6961
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Fracture,Eco (won),3,1,5248
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,All Maps,$$$ (won),36,22,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,$$ (won),3,1,2059
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Bind,$ (won),1,0,2
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,Fracture,$ (won),2,0,8185
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Abyss,Eco (won),3,1,11058
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,$$$ (won),11,4,12694
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,All Maps,$ (won),2,1,1184
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,Pistol Won,0,0,474
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Fracture,$ (won),1,0,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,All Maps,$$ (won),17,9,278
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Haven,Eco (won),4,1,14
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,All Maps,Eco (won),8,2,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,All Maps,Eco (won),9,4,878
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Fracture,Pistol Won,0,0,14
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,All Maps,Eco (won),7,2,2406
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Abyss,Pistol Won,0,1,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,Lotus,$ (won),0,0,120
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,All Maps,$$$ (won),41,21,7386
VCT 2025: Americas Kickoff,Main Event,Upper Final,Sentinels vs G2 Esports,Pearl,Eco (won),3,1,11058
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,$ (won),2,0,11981
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Abyss,Eco (won),4,0,878
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,All Maps,Pistol Won,0,3,2593
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Sunset,$$$ (won),8,1,5248
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Lotus,$ (won),2,0,15072
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,All Maps,$ (won),2,0,120
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,All Maps,Pistol Won,0,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Haven,$ (won),0,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,All Maps,$ (won),1,0,188
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Bind,$ (won),0,0,120
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,$$$ (won),4,1,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,Eco (won),2,2,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,$$ (won),5,3,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Lotus,$$ (won),9,4,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Corrode,Pistol Won,0,1,474
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Haven,$$ (won),4,0,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,All Maps,$$ (won),7,5,4915
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,Lotus,Eco (won),3,1,2593
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Icebox,Eco (won),5,0,1001
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Sunset,$$$ (won),11,4,474
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Icebox,$ (won),0,0,4915
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,All Maps,$$$ (won),26,10,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,All Maps,$$ (won),18,10,918
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Icebox,$$$ (won),7,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,All Maps,Pistol Won,0,2,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,Ascent,$$$ (won),12,5,278
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,$ (won),2,0,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Icebox,$ (won),0,0,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,All Maps,Pistol Won,0,2,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,All Maps,$ (won),2,0,14
VCT 2025: Pacific Stage 1,Group Stage,Week 2,DRX vs DetonatioN FocusMe,All Maps,$$$ (won),23,15,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Pearl,$$ (won),4,2,624
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Split,$ (won),2,0,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Ascent,$$ (won),2,0,878
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Lotus,$$ (won),3,1,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,Pistol Won,0,1,8185
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,All Maps,$$$ (won),23,10,2406
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Haven,$$$ (won),13,8,5248
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,Pearl,$$$ (won),16,9,6961
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,Ascent,$$$ (won),9,7,11058
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,All Maps,Pistol Won,0,1,
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,Eco (won),3,1,
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Split,Eco (won),2,1,11058
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Lotus,$ (won),0,0,2
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Lotus,$$ (won),8,3,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Pearl,$$ (won),6,1,474
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,All Maps,$$ (won),16,10,2059
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Haven,Pistol Won,0,1,474
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Split,Pistol Won,0,0,14
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,Eco (won),3,1,4915
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,All Maps,$$$ (won),31,13,4915
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,$$ (won),2,0,1001
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Pearl,$$ (won),4,2,1001
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,Pistol Won,0,2,474
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,Eco (won),2,2,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Fracture,Pistol Won,0,0,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Lotus,$ (won),0,0,878
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Split,$ (won),1,0,6961
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Pearl,$$ (won),5,2,5248
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,$$ (won),5,2,1120
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Pistol Won,0,1,11058
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,$$ (won),10,3,12010
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss,Eco (won),2,2,11058
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,All Maps,Pistol Won,0,4,2359
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Corrode,$$$ (won),12,10,120
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Haven,Eco (won),3,1,2359
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Haven,Eco (won),3,1,2359
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,All Maps,Pistol Won,0,2,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Sunset,$ (won),2,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Corrode,$ (won),1,0,4915
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Ascent,Pistol Won,0,2,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Bind,Pistol Won,0,0,918
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Haven,Pistol Won,0,1,11060
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Sunset,Eco (won),4,0,624
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Lotus,$ (won),1,0,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Icebox,Eco (won),2,1,6199
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Sunset,$$$ (won),12,11,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,Icebox,$$$ (won),10,4,8185
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Eco (won),3,0,878
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,$$ (won),4,3,11058
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Sunset,Pistol Won,0,0,624
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Lotus,Pistol Won,0,0,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,Split,Eco (won),2,2,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Haven,$ (won),3,0,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Split,$$$ (won),24,11,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,All Maps,Eco (won),7,5,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Apeks vs FNATIC,Split,Pistol Won,0,1,2593
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Split,$$ (won),7,1,4915
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Icebox,$ (won),0,0,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,All Maps,Eco (won),10,3,14
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,$$ (won),5,1,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,All Maps,$ (won),4,1,14
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Lotus,$$$ (won),9,2,8304
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Fracture,Pistol Won,0,1,8185
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,All Maps,$ (won),2,0,11060
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,All Maps,Pistol Won,0,2,120
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,All Maps,$$ (won),13,5,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Haven,$$$ (won),6,2,11058
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,All Maps,$$ (won),9,4,2
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,All Maps,$$ (won),9,4,14
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Lotus,$ (won),2,0,2059
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,$$ (won),8,3,8877
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,$ (won),4,1,397
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Pearl,$ (won),1,0,12694
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Pearl,Eco (won),3,1,397
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,All Maps,$$ (won),8,4,1001
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Abyss,$$ (won),5,2,918
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Haven,$$ (won),7,4,878
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Haven,$ (won),1,1,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,Lotus,$$$ (won),4,1,278
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Lotus,$$ (won),8,2,8304
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Abyss,$ (won),2,0,2355
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,All Maps,$$ (won),6,3,2355
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,All Maps,Pistol Won,0,2,878
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss,$$$ (won),12,9,11058
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent,Pistol Won,0,0,7386
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Corrode,Eco (won),3,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,All Maps,$ (won),6,1,5248
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Lotus,Pistol Won,0,1,8877
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,All Maps,Eco (won),5,3,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,All Maps,Eco (won),6,3,5448
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Sunset,Eco (won),4,0,878
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,All Maps,$$$ (won),41,23,8185
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Sunset,$$$ (won),14,5,14
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,All Maps,$$$ (won),22,16,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,$$ (won),5,2,878
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,$ (won),5,1,878
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,All Maps,$$ (won),10,7,2
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,All Maps,Eco (won),10,2,624
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Split,Eco (won),3,1,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Lotus,Eco (won),2,2,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,All Maps,Pistol Won,0,3,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,All Maps,$ (won),4,0,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Haven,$$$ (won),11,8,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,Fracture,$$$ (won),13,5,4915
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,All Maps,$$ (won),10,3,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Fracture,Pistol Won,0,0,624
VCT 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Split,Pistol Won,0,0,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,Icebox,$$ (won),3,2,6199
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,All Maps,$$ (won),17,9,14
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Split,$ (won),3,2,918
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Lotus,Pistol Won,0,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,All Maps,$ (won),4,2,14
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Split,$$$ (won),21,10,624
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Fracture,$$$ (won),6,0,2355
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Haven,Pistol Won,0,2,120
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,All Maps,$$$ (won),35,23,6199
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Haven,Eco (won),2,1,188
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Ascent,$ (won),2,0,15072
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,All Maps,$ (won),4,1,188
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Ascent,$$$ (won),10,5,188
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,$$ (won),5,3,2
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Pearl,$$$ (won),13,9,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Abyss,$ (won),1,0,11058
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,All Maps,Eco (won),6,2,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,$ (won),0,0,397
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Pearl,Pistol Won,0,1,7035
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Bind,$$ (won),0,0,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Abyss,$ (won),1,0,1184
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,All Maps,$$$ (won),31,15,6199
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,$ (won),1,0,8185
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,Lotus,Pistol Won,0,1,7386
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,All Maps,Eco (won),6,3,2406
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,Lotus,$$ (won),5,4,11058
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,All Maps,Pistol Won,0,3,11058
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,All Maps,Eco (won),9,3,7386
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Lotus,Eco (won),3,1,14
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss,$$$ (won),15,7,13581
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,All Maps,$ (won),2,1,13581
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,$$ (won),6,4,8185
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode,Eco (won),3,1,8185
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Ascent,$$$ (won),13,4,
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,Pistol Won,0,0,
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,Eco (won),2,2,2593
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,All Maps,Pistol Won,0,6,2593
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Bind,$ (won),1,0,
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Haven,Pistol Won,0,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,All Maps,$ (won),4,0,2355
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,Corrode,Pistol Won,0,2,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Sunset,$$ (won),6,3,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,Haven,$$ (won),6,1,2355
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,$ (won),5,0,
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,$$ (won),15,7,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,Eco (won),5,3,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Icebox,$ (won),0,0,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Bind,$$$ (won),11,9,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Ascent,Pistol Won,0,2,474
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,All Maps,Eco (won),9,2,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Corrode,$$ (won),6,3,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,Bind,Eco (won),2,2,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,All Maps,$ (won),2,1,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Global Esports,All Maps,Eco (won),6,2,918
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,All Maps,Pistol Won,0,2,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Haven,Eco (won),3,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,Icebox,Eco (won),4,2,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,All Maps,Eco (won),6,3,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,Bind,$$ (won),6,4,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,All Maps,$$$ (won),27,14,878
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,Bind,Pistol Won,0,0,624
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,TALON vs Paper Rex,All Maps,$$$ (won),30,19,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Ascent,$$ (won),1,0,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,$$$ (won),18,10,878
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,$$ (won),5,3,2
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Sunset,$$$ (won),12,9,2
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Ascent,$$ (won),4,2,624
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Sunset,$ (won),3,0,7386
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,$$$ (won),28,13,17
