tournament,stage,match_type,match_name,map,type,initiated,won,team_id
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,Lotus,Eco (won),2,2,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Lotus,Eco (won),4,1,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,Icebox,$$ (won),4,3,397
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Pearl,Eco (won),4,1,8877
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Icebox,$ (won),1,0,4915
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Haven,$ (won),2,0,474
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Ascent,$ (won),1,0,474
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Ascent,$$ (won),4,3,878
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,Eco (won),2,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Haven,$$ (won),4,1,878
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Lotus,Eco (won),3,1,878
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,Ascent,$$$ (won),10,4,466
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,All Maps,Pistol Won,0,2,8185
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,Fracture,$$$ (won),11,8,624
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,Pistol Won,0,1,624
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,All Maps,$$$ (won),17,7,5248
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Icebox,Pistol Won,0,2,120
VCT 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,Lotus,Eco (won),4,0,11479
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,All Maps,$ (won),1,0,2406
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Split,$ (won),3,0,2406
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,All Maps,$ (won),9,5,5248
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Icebox,Eco (won),3,2,7386
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Lotus,$$ (won),7,4,2355
