tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Split,G2 Esports,12,6,6,0,100 Thieves,14,6,6,2,1:00:10
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Icebox,Sentinels,9,6,3,0,Cloud9,13,7,6,0,51:39
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,7,4,3,0,Gentle Mates,13,5,8,0,45:43
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,Lotus,T1,12,6,6,0,Paper Rex,14,6,6,2,50:36
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Lotus,BOOM Esports,15,7,5,3,ZETA DIVISION,13,7,5,1,1:07:11
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Haven,Team Liquid,12,5,7,0,Gentle Mates,14,5,7,2,55:47
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Pearl,DetonatioN FocusMe,13,11,2,0,Paper Rex,1,0,1,0,34:24
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,9,7,2,0,Paper Rex,13,8,5,0,45:55
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,Fracture,T1,13,6,7,0,ZETA DIVISION,7,1,6,0,54:22
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Fracture,T1,13,10,3,0,Paper Rex,3,1,2,0,40:24
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Fracture,Titan Esports Club,13,5,8,0,Dragon Ranger Gaming,9,2,7,0,48:45
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Icebox,100 Thieves,13,7,6,0,2Game Esports,6,1,5,0,40:50
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Abyss,Team Vitality,13,11,2,0,Team Heretics,1,0,1,0,35:16
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Pearl,BOOM Esports,11,7,4,0,T1,13,8,5,0,1:19:42
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Lotus,Gen.G,13,5,8,0,Rex Regum Qeon,8,1,7,0,51:22
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Lotus,KRÜ Esports,7,6,1,0,Mega Minors,13,7,6,0,45:11
VCT 2025: China Stage 2,Group Stage,Week 2,JDG Esports vs Bilibili Gaming,Icebox,JDG Esports,4,4,0,0,Bilibili Gaming,13,5,8,0,39:50
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Sunset,Team Liquid,13,7,6,0,MIBR,7,2,5,0,44:22
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,Ascent,BOOM Esports,6,0,6,0,Gen.G,13,1,12,0,38:38
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,Lotus,EDward Gaming,9,4,5,0,Xi Lai Gaming,13,5,8,0,1:00:58
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Lotus,Cloud9,6,5,1,0,Mega Minors,13,6,7,0,54:13
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,Lotus,DRX,13,9,4,0,Sentinels,3,0,3,0,45:20
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Abyss,Team Liquid,16,7,5,4,Sentinels,14,7,5,2,1:02:50
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Sunset,Team Heretics,13,6,7,0,T1,11,5,6,0,51:59
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Corrode,2Game Esports,12,5,7,0,FURIA,14,5,7,2,1:13:27
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Haven,Sentinels,13,9,4,0,Cloud9,9,6,3,0,49:12
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,FUT Esports,16,5,7,4,Gentle Mates,14,5,7,2,1:07:52
VCT 2025: China Stage 2,Playoffs,Lower Round 2,TYLOO vs EDward Gaming,Haven,TYLOO,3,3,0,0,EDward Gaming,13,4,9,0,54:00
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Pearl,BBL Esports,13,8,5,0,Karmine Corp,11,7,4,0,57:52
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,Lotus,FUT Esports,13,8,5,0,Gentle Mates,4,0,4,0,36:11
